number,name,rarity,stage,HP,type,ability_name,ability_effect,move1_name,move1_cost,move1_damage,move1_effect,move2_name,move2_cost,move2_damage,move2_effect,retreat_cost,pack_name,pack_points,image
A1 001,Bulbasaur,◇,Basic,70,Grass,N/A,N/A,Vine Whip,🟢*️⃣,40,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998332/91c4f79b2b3b4206205bf69db8dd3d1e.png/show
A1 002,Ivysaur,◇◇,Stage 1,90,Grass,N/A,N/A,Razor Leaf,🟢*️⃣*️⃣,40,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/4006820/34e0ae3e3a08bf4586263f804fd42d06.png/show
A1 003,Venusaur,◇◇◇,Stage 2,160,Grass,N/A,N/A,Mega Drain,🟢🟢*️⃣*️⃣,80,Heal 30 damage from this Pokemon.,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/4003548/e62b9303f29d5360acfef5c9a1d8c6d3.png/show
A1 004,Venusaur ex,◇◇◇◇,Stage 2,190,Grass,N/A,N/A,Razor Leaf,🟢*️⃣*️⃣,60,N/A,Giant Bloom,🟢🟢*️⃣*️⃣,100,Heal 30 damage from this Pokemon.,3,Genetic Apex (A1) Mewtwo,500,https://img.game8.co/3995580/151d2c9455f83899618147d85881a75e.png/show
A1 005,Caterpie,◇,Basic,50,Grass,N/A,N/A,Find a Friend,*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4004054/ac3d9d05b0255de5e3e1d2e6f5609407.png/show
A1 006,Metapod,◇,Stage 1,80,Grass,N/A,N/A,Bug Bite,*️⃣*️⃣,30,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3998380/4ce586957c9259bc8efb497a18d39279.png/show
A1 007,Butterfree,◇◇◇,Stage 2,120,Grass,Powder Heal,"Once during your turn, you may heal 20 damage from each of your Pokemon.",N/A,N/A,N/A,N/A,Gust,🟢*️⃣*️⃣,60,N/A,1,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4004057/6ba461fb08292cbabe715b6ead54dfb9.png/show
A1 008,Weedle,◇,Basic,50,Grass,N/A,N/A,Sting,🟢,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998345/90945e1d343b71b9b81367632fc6419d.png/show
A1 009,Kakuna,◇,Stage 1,80,Grass,N/A,N/A,Bug Bite,🟢,30,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998379/6580ab259f93a510e399d0cd4c6c82d1.png/show
A1 010,Beedrill,◇◇◇,Stage 2,120,Grass,N/A,N/A,Sharp Sting,🟢,70,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/4006294/0ee9cea4b4d3ce61396be4dd82cd9421.png/show
